,BbMf_PPema_05_S9.counts.cut.txt,BbMf_PPema_07_S11.counts.cut.txt,BbMf_PPema_08_S12.counts.cut.txt,BbSf_PScoc_05_S13.counts.cut.txt,BbSf_PScoc_06_S14.counts.cut.txt,BbSf_PScoc_07_S15.counts.cut.txt,EnMf_PPema_09_S17.counts.cut.txt,EnMf_PPema_10_sub_S18.counts.cut.txt,EnMf_PPema_12_S20.counts.cut.txt,EnSf_Pscoc_09_S21.counts.cut.txt,EnSf_Pscoc_11_S23.counts.cut.txt,EnSf_Pscoc_12_S24.counts.cut.txt,UF_PPema_02_S2.counts.cut.txt,UF_PPema_03_S3.counts.cut.txt,UF_PPema_04_S4.counts.cut.txt,UF_PScoc_02_S6.counts.cut.txt,UF_PScoc_03_S7.counts.cut.txt,UF_PScoc_04_S8.counts.cut.txt
LOC115315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115308215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnak-cuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115315666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115314382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115316311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115316973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115317644,0,7.80746763782187,0,0,4.54721406025199,0,0,0,0,0,0,0,0,0,9.56575573285281,0,0,0
LOC115319366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8040246,0,0,0,0,0,0,0,0,0,0,0,0,3.52436077296888,0,0,0,0,0
LOC115318789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115320466,0,0,0,0,0,0,0,0,0,3.61712524968496,4.38765109544161,0,0,13.5218725120932,7.51595093295577,14.3001051834387,0,10.3208817967366
LOC115321103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115324962,0,0,25.9180466826858,0,0,2.15319847553188,0,0,0,0,0,0,0,0,0,0,0,0
LOC115325709,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4935916352792,0,0,0,0
LOC8032538,0,7.80746763782187,1.61987791766786,8.86296785996851,7.57869010041998,0,18.4350487855812,0,0,0,0,0,0,0,0,0,0,0
LOC115327020,0,0,0,0,0,0,0,0,0,14.4685009987398,0,0,0,0,0,0,0,0
LOC8032535,39.6896618272223,85.4228812138158,119.870965907422,50.427230927407,58.3559137732338,81.1038092450341,46.0876219639531,21.6764608098508,47.585212398345,70.1722298438883,82.634095630817,37.857801202646,7.75359370053154,2.70437450241863,0,11.7000860591771,40.1030328129714,9.85175080597585
LOC115327675,0,0,0,1.83371748826935,0,0,0,0,0,0,0,0,0,1.35218725120932,0,0,0,0
LOC8032546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115322981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115330723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115332637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115331362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115308216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115310973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09960959979406,0,0,0.469130990760755
LOC115312187,0,0,0,5.19553288342981,0,1.43546565035459,0,0,0,0,0,0,0,2.02828087681397,1.36653653326469,0,0,0
LOC115309170,0,1.37778840667445,0,0,0,0,0,0,0,5.78740039949594,0,0,7.75359370053154,0,0,0,0,0
LOC115310536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115314261,0,10.1037816489459,0,0,0,10.0482595524821,0,0,0,0,0,0,0,0,0,0,0,8.44435783369359
LOC115309878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40739297228226
LOC115314399,25.884562061232,7.80746763782187,0,0,0,0,0,1.66742006229622,8.92222732468969,0,0,0,24.6705254107822,10.8174980096745,13.6653653326469,0,6.41648525007543,30.4935143994491
LOC8051300,115.617710540169,90.9340348405135,115.011332154418,117.969158411995,102.31231635567,86.1279390212752,9.21752439279062,60.0271222426638,115.988955220966,111.407457690297,36.5637591286801,176.669738945681,100.091845952316,143.331848628188,157.151701325439,41.6003059881852,124.319401720211,28.1478594456453
LOC8043581,37.9640243564735,9.18525604449632,0,0,0,0,0,0,0,9.4045256491809,0,0,0,6.76093625604658,5.46614613305875,0,31.2803655941177,2.81478594456453
LOC115314473,0,0.918525604449632,3.23975583533572,3.05619581378224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115315483,0,0.459262802224816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115315142,0,0,0,0,0,0,13.8262865891859,0,0,0,0,0,0,0,0,0,0,0
LOC8043580,0,0,0,0,0,0,0,0,0,0,0,0,11.2779544735004,2.02828087681397,8.88248746622046,0,0,0
LOC8043579,0,0,0,0,5.30508307029399,1.43546565035459,0,0,0,0,0,0,0,0,0,0,0,0
LOC8043578,48.3178491809663,122.623168194026,157.128158013782,84.9622436231464,158.394623098778,54.5476947134743,23.0438109819765,45.0203416819978,0,84.6407308426281,40.2201350415481,124.089459497562,179.037527266819,47.3265537923261,142.80306772616,124.800917964556,0,317.601680745031
LOC115314654,41.4152992979711,24.8001913201401,21.0584129296822,15.2809790689112,35.6198434719739,0,9.21752439279062,13.3393604983697,26.7666819740691,15.9153510986138,34.3699335809593,92.5412918286902,50.7507951307519,64.2288944324425,81.9921919958812,109.850808000052,10.4267885313726,50.1970160114008
LOC8043577,1023.30302015404,372.921395406551,432.507404017319,348.711942352554,403.944182352385,324.415236980137,267.308207390928,553.583460682344,327.148335238622,329.158397721331,579.169944598292,555.247750972141,56.3897723675021,55.439677299582,97.0240938617927,90.3506645680897,96.2472787511315,84.4435783369359
LOC8043576,978.436445914568,783.502340595536,417.928502758308,888.13050348512,1475.57096255177,711.990962575875,1041.58025638534,726.99514716115,687.011504001106,931.048039268909,1195.63492350784,1270.33955146657,382.040707789827,461.771946287982,484.437201042331,542.103987408539,508.506456068478,288.515559317864
LOC8043575,1157.90274287244,2007.43770852467,1882.29814033005,1449.24805489554,1811.30693400038,1720.40558194997,2871.25884835428,2702.88792098217,2533.91256021187,2093.59209451766,789.045921996916,1144.14688079108,1103.82979409385,1420.47270739539,819.921919958812,3112.87289652217,528.557972474964,919.96587288184
LOC115314886,0,0,0,4.58429372067337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115314957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115314985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115315595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115315006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnaf-aaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
